,Name,email,new
0,3M Electro & Communication,pbhutani@mmm.com,FALSE
1,3M Electro & Communication,srjanak@mmm.com,FALSE
2,A  P ELECTRICALS AND ENGINEERS,SVLNRAO@APEEONLINE.COM,TRUE
3,A  P ELECTRICALS AND ENGINEERS,VIJAY@APEEONLINE.COM,TRUE
4,AAALAC INTERNATIONAL,msprouse@aaalac.org,TRUE
5,AAALAC INTERNATIONAL,accredit@AAALAC.org,TRUE
6,AADHYA ENGINEERS,umeshkumar@aadhyaengineers.in,TRUE
7,AADHYA ENGINEERS,manoj@aadhyaengineers.in,TRUE
8,AADHYA ENGINEERS,proposal@aadhyaengineers.in,TRUE
9,AADHYA ENGINEERS,durga@aadhyaengineers.in,TRUE
10,AADHYA ENGINEERS,arvind@aadhyaengineers.in,TRUE
11,AADHYA ENGINEERS,purchase@aadhyaengineers.in,TRUE
12,AADHYA VENTUREPRISE,sriram@aadhyaventureprise.com,TRUE
13,AADHYA VENTUREPRISE,sales-acc@aadhyaventureprise.com,TRUE
14,AADHYA VENTUREPRISE,accounts@aadhyaventureprise.com,TRUE
15,AADYANTH INC,aadyanthinc@gmail.com,TRUE
16,AADYANTH INC,diwakar@aadyanth.in,TRUE
17,AAF INDIA PVT LTD,soumya.sahu@aafindia.net,TRUE
18,AAF INDIA PVT LTD,vasudev@aafindia.net,TRUE
19,AAF INDIA PVT LTD,kumar@aafindia.com,TRUE
20,AAF INDIA PVT LTD,CSG4@AAFINDIA.NET,TRUE
21,AAF INDIA PVT LTD,praveen.yalamati@aafindia.net,TRUE
22,AAF INDIA PVT LTD,subramanya.revenkar@aafindia.net,TRUE
23,AAF INDIA PVT LTD,shashank.selot@aafindia.net,TRUE
24,AAF INDIA PVT LTD,info@aafindia.net,TRUE
25,AAF INDIA PVT LTD,premkumar.bn@aafindia.net,TRUE
26,AAPPTec LLC,bwilkey@aapptec.com,TRUE
27,AAPPTec LLC,pavithra@spincotech.com,FALSE
28,AAPPTec LLC,bangalore@spincotech.com,FALSE
29,AARON PHARMATECH LTD,sales@aaronpharmatech.com,TRUE
30,AARON PHARMATECH LTD,info@aaronpharmatech,TRUE
31,AARON PHARMATECH LTD,sales@aaronpharmatech,TRUE
32,AB SCIEX PTE LTD,india.cs@sciex.com,TRUE
33,AB SCIEX PTE LTD,Sunil.Kamath@sciex.com,TRUE
34,ABN DISTRIBUTORS,zakir@rdgc.in,FALSE
35,ABN DISTRIBUTORS,abndistributors.blr@gmail.com,TRUE
36,ABS INDIA (P) LIMITED,krishna.kharvi@absindia.net,TRUE
37,ABS INDIA (P) LIMITED,a.harsha@absindia.net,TRUE
38,ABS INDIA (P) LIMITED,krishna.ks@absindia.net,TRUE
39,ABS INDIA (P) LIMITED,durai@absindia.net,TRUE
40,ABS INDIA PRIVATE LIMITED,rajesh.nl@absindia.net,TRUE
41,ABS INDIA PRIVATE LIMITED,krishna.kharvi@absindia.net,TRUE
42,ABS INDIA PRIVATE LIMITED,krishna.ks@absindia.net,TRUE
43,ABS INDIA PRIVATE LIMITED,support.south@absindia.net,TRUE
44,ACC LIMITED,MADHU.ENDREDDY@adani.com,FALSE
45,ACC LIMITED,satish.venu@acclimited.com,TRUE
46,ACCURATE MEASUREMENT SOLUTIONS,sales@accuratemeasurement.in,TRUE
47,ACCURATE MEASUREMENT SOLUTIONS,accurate2010@rediffmail.com,TRUE
48,ACCURATE MEASUREMENT SOLUTIONS,manjunatha@accuratemeasurement.in,TRUE
49,ACE RASAYAN,bangalore@acerasayan.com,TRUE
50,ACE RASAYAN,doshi.sp@acerasayan.com,TRUE
51,ACE RASAYAN,acerasayan1983@gmail.com,TRUE
52,ACG PAM PHARMA TECHNOLOGIES PVT,ruchi.sariya@acg-world.com,TRUE
53,ACG PAM PHARMA TECHNOLOGIES PVT,jatin.bajaj@acg-world.com,TRUE
54,ACG PAM PHARMA TECHNOLOGIES PVT,veenas.vyas@acg-world.com,TRUE
55,ACG PHARMA TECHNOLOGIES PVT LTD,prasad.gvn@acg-world.com,TRUE
56,ACG PHARMA TECHNOLOGIES PVT LTD,hemanth.rao@acg-world.com,TRUE
57,ACG PHARMA TECHNOLOGIES PVT LTD,AJAYS.PATIL@ACG-WORLD.COM,TRUE
58,ACG PHARMA TECHNOLOGIES PVT LTD,PAVAN.DALVI@ACG-WORLD.COM,TRUE
59,ACG PHARMA TECHNOLOGIES PVT LTD,ranjana.garude@acg-world.com,TRUE
60,ACME PROCESS SYSTEMS,manu@acmeprocess.net,TRUE
61,ACME PROCESS SYSTEMS,vikrant.khadake@acmeprocess.net,TRUE
62,Adarsh surgical works,dial.mangesh@gmail.com,FALSE
63,Adarsh surgical works,mangesh@gmail.com,FALSE
64,ADGYL LIFESCIENCES PVT LTD,priya.s@advinus.com,FALSE
65,ADGYL LIFESCIENCES PVT LTD,puja.bhattacharjee@advinus.com,FALSE
66,ADHISHA SAFETY SOLUTIONS AND,info@adhishasafety.com,TRUE
67,ADHISHA SAFETY SOLUTIONS AND,accounts@adhishasafety.com,TRUE
68,ADILAB TECHNOLOGIES PVT. LTD,SALESBLR@ADILABTECH.COM,TRUE
69,ADILAB TECHNOLOGIES PVT. LTD,adilabtech23@bsnl.in,TRUE
70,ADINSTRUMENTS SOUTH ASIA (INDIA),info.in@adinstruments.com,TRUE
71,ADINSTRUMENTS SOUTH ASIA (INDIA),r.kumar@adinstruments.com,TRUE
72,ADINSTRUMENTS SOUTH ASIA (INDIA),p.pokhrial@adinstruments.com,TRUE
73,ADINSTRUMENTS SOUTH ASIA (INDIA),s.bhat@adinstruments.com,TRUE
74,ADINSTRUMENTS SOUTH ASIA (INDIA),H.VERMA@ADINSTRUMENTS.COM,TRUE
75,ADITYA SYSTEMS,adityasystemsblr@gmail.com,TRUE
76,ADITYA SYSTEMS,info@adityasystems.in,TRUE
77,ADOLF KUHNER AG,meenakshi@biogentek.com,FALSE
78,ADOLF KUHNER AG,service@biogentek.com,FALSE
79,ADOLF KUHNER AG,skawatra@biogentek.org,FALSE
80,ADS SALES AND SERVICE,adssales18@gmail.com,TRUE
81,ADS SALES AND SERVICE,sales@adssales.in,TRUE
82,ADVANCED CALIBRATION AND VALIDATION,acvsval@rediffmail.com,FALSE
83,ADVANCED CALIBRATION AND VALIDATION,acvscal@gmail.com,FALSE
84,ADVANCED CHEMISTRY,Catherine.commins@acdlabs.com,FALSE
85,ADVANCED CHEMISTRY,nancy.thomas@acdlabs.com,FALSE
86,ADVANCED GRAPHIC SYSTEMS,muthu.kumaravel@agsindia.com,FALSE
87,ADVANCED GRAPHIC SYSTEMS,vinayak@agsindia.com,FALSE
88,ADVANCED GRAPHIC SYSTEMS,Karthick.s@agsindia.com,FALSE
89,ADVANCED MICRODEVICES PVT LTD,deepak.joshi@mdimembrane.com,FALSE
90,ADVANCED MICRODEVICES PVT LTD,mdimumbai@mdimembrane.com,FALSE
91,ADVANCED PNEUMATICS PVT LTD,accounts@appl.co.in,FALSE
92,ADVANCED PNEUMATICS PVT LTD,sales@appl.co.in,FALSE
93,ADVANCED PNEUMATICS PVT LTD,umesh@appl.co.in,FALSE
94,ADVANCED PNEUMATICS PVT LTD,info@appl.co.in,FALSE
95,ADVANCED TECHNOLOGIES CORPORATION,atc.office@advtechcorp.in,FALSE
96,ADVANCED TECHNOLOGIES CORPORATION,atcorp@eth.net,FALSE
97,ADVENT CHEMBIO PVT LTD,bd@adventchembio.com,TRUE
98,ADVENT CHEMBIO PVT LTD,accounts1@adventchembio.com,TRUE
99,ADVENT CHEMBIO PVT LTD,michael@adventchembio.com,TRUE
100,ADVENT CHEMBIO PVT LTD,amit.singh@adventchembio.com,TRUE
101,AGILENT TECHNOLOGIES SINGAPORE,Sunil.chilla@agilent.com,TRUE
102,AGILENT TECHNOLOGIES SINGAPORE,prasanna.kumar@agilent.com,TRUE
103,AGILENT TECHNOLOGIES SINGAPORE,bharatesh_bhat@agilent.com,TRUE
104,AGILENT TECHNOLOGIES SINGAPORE,Priyanka.mukherjee@agilent.com,TRUE
105,AGS FOURWINDS INDIA PVT LTD,tansir.altaf@agsfourwinds.com,TRUE
106,AGS FOURWINDS INDIA PVT LTD,sanjay.khuntia@agsfourwinds.com,TRUE
107,AGS FOURWINDS INDIA PVT LTD,ACCOUNTS-BANGALORE@AGSFOURWINDS.COM,TRUE
108,AIC ENTERPRISES PVT LTD,receivables@aicgroup.in,TRUE
109,AIC ENTERPRISES PVT LTD,support@aicgroup.in,TRUE
110,AIMIL LTD,mohansharma@aimil.com,TRUE
111,AIMIL LTD,info@aimil.com,TRUE
112,AIMIL LTD,csgindblr@aimil.com,TRUE
113,AIMIL LTD,ananthkalghatgi@aimil.com,TRUE
114,AIRCARE TECHNOLOGIES,aircaremlr@gmail.com,TRUE
115,AIRCARE TECHNOLOGIES,salesmlr@aircareindia.com,TRUE
116,AKKAYYA HOSPITALITY SERVICES,finance@saivishram.com,FALSE
117,AKKAYYA HOSPITALITY SERVICES,credit@saivishram.com,FALSE
118,ALFA LAVAL INDIA PRIVATE LIMITED,sagar.bhandari@alfalaval.com,TRUE
119,ALFA LAVAL INDIA PRIVATE LIMITED,Tanveer.Bankapur@alfalaval.com,TRUE
120,ALFA LAVAL INDIA PRIVATE LIMITED,mahendrakumar.s@alfalaval.com,TRUE
121,ALKALI METALS LTD,alkalimetals@alkalimetals.com,TRUE
122,ALKALI METALS LTD,amlrdmarketing@gmail.com,FALSE
123,Alkyl Amines Chemicals Ltd,mktg2@alkylamines.com,TRUE
124,Alkyl Amines Chemicals Ltd,mktg1@alkylamines.com,TRUE
125,Alkyl Amines Chemicals Ltd,sahmed@alkylamines.com,TRUE
126,ALL INDIA INSTITUTE OF MEDICAL,nath.uttam@gmail.com,FALSE
127,ALL INDIA INSTITUTE OF MEDICAL,uttam.haemat@aiimsrishikesh.edu.in,FALSE
128,ALLIANZ BIOINNOVATION,info@allianzbio.com,TRUE
129,ALLIANZ BIOINNOVATION,office@allianzbio.com,TRUE
130,ALLIANZ BIOINNOVATION,sanjay@allianzbio.com,TRUE
131,ALLIANZ BIOINNOVATION,anwar@allianzbio.com,TRUE
132,ALLIED SCIENTIFIC PRODUCTS,info@alliedscientific.net,TRUE
133,ALLIED SCIENTIFIC PRODUCTS,rita.dasgupta@alliedscientific.net,TRUE
134,ALLIED SCIENTIFIC PRODUCTS,alliedscientific@vsnl.com,TRUE
135,ALLYONE ENVIRONMENTAL TECHNOLOGIES,sales.co@allyone.co.in,TRUE
136,ALLYONE ENVIRONMENTAL TECHNOLOGIES,service@allyone.co.in,TRUE
137,ALLYONE ENVIRONMENTAL TECHNOLOGIES,sales.asst@allyone.co.in,TRUE
138,AM ENVIRO ENGINEERS,mahadev.env@gmail.com,FALSE
139,AM ENVIRO ENGINEERS,am.environ@gmail.com,TRUE
140,AMATEK CHEMICAL CO LTD,amatekchem@gmail.com,TRUE
141,AMATEK CHEMICAL CO LTD,sales@amatek.com.cn,TRUE
142,AMBETRONICS ENGINEERS PVT LTD,account@ambetronics.com,TRUE
143,AMBETRONICS ENGINEERS PVT LTD,prod@ambetronics.com,TRUE
144,AMCOR FLEXIBLES INDIA,shankar.naik@amcor.com,TRUE
145,AMCOR FLEXIBLES INDIA,rupali.pawar@amcor.com,TRUE
146,AMERICAN CHEMICAL SOCIETY,acspubspricing@acs.org,FALSE
147,AMERICAN CHEMICAL SOCIETY,SSekhar@acs-i.org,FALSE
148,AMERICAN RADIOLABELED CHEMICALS INC,ARCINDIA@ARC-INC.COM,TRUE
149,AMERICAN RADIOLABELED CHEMICALS INC,AJAY_GUPTA555@YAHOO.CO.IN,FALSE
150,AMI ORGANICS LIMITED,mail@amiorganics.com,TRUE
151,AMI ORGANICS LIMITED,marketing@amiorganics.com,TRUE
152,AMI ORGANICS LIMITED,gaurav@amiorganics.com,TRUE
153,AMI ORGANICS LIMITED,kunjal.sakariya@amiorganics.com,TRUE
154,AMI POLYMER PVT. LTD.,support1@amipolymer.com,TRUE
155,AMI POLYMER PVT. LTD.,kabir@amipolymer.com,TRUE
156,AMI POLYMER PVT. LTD.,karnatak@amipolymer.com,TRUE
