,Material,Created On,Created By,Last Change,Changed By,Compl. maint. status,Maintenance status,DF at client level,Material Type,Industry,Material Group,Old material number,Base Unit of Measure,Order Unit,Document,Document type,Doc. Version,Page format,Document change no.,Page number,Number of sheets,Prod./insp. memo,Page format.1,Size/dimensions,Basic material,Industry Std Desc.,Lab/Office,Purchasing value key,Gross Weight,Net Weight,Unit of Weight,Volume,Volume Unit,Container reqmts,Storage conditions,Temp. conditions,Low-Level Code,Transportation Group,Haz. material number,Division,Competitor,EAN number,Number of GR slips,Procurement rule,Source of supply,Season,Label type,Label form,Field deactivated,EAN/UPC,EAN Category,Length,Width,Height,Unit of Dimension,Product Hierarchy,Stock Transfer Net Change Costing,CAD Indicator,QM proc. active,Allowed pkg weight,Unit of weight,Allowed pkg volume,Volume unit,Excess wt tolerance,Excess volume tol.,Variable Purchase Order Unit,Revision Level Assgd,Material is configurable,Batch management,Packaging mat. type,Maximum level,Stackability factor,Matl Grp Pack.Matls,Authorization Group,Valid From,Valid to,Season Year,Price Band Category,With empties BOM,Ext. Material Group,Cross-plant CM,Material Category,Co-product,Follow-up material,Pricing Ref. Matl,X-plant matl status,X-distr.chain status,Valid from,Valid from.1,Tax classification,Catalog profile,Min. Rem. Shelf Life,Total shelf life,Storage percentage,Content unit,Net contents,ComparisonPriceUnit,Labeling matl grpg,Gross contents,Conversion Method,Internal object no.,Environmentally rlvt,Product allocation,Pricing profile,Qual.f.FreeGoodsDis.,Manufacturer Part No.,Manufacturer,Int. material number,Mfr Part Profile,Units of meas. usage,Rollout,DG indicator profile,Highly viscous,In bulk/liquid,Serialization level,Closed,Appr.batch rec. req.,Assign effect. vals,Material completion level,Period Ind. for SLED,Rounding rule SLED,Product Composition,Gen. item cat. grp,Logistical variants,Material is locked,Indicator for relevance in CM,Assortment List Type,Expiration Date,EAN Variant,Generic Material,Reference matl for packing,GDS-Relevant,Origin Acceptance,Standard HU Type,Pilferable,WH Storage Condition,WH Material Group,Handling Indicator,Rel. for HS,Handling Unit Type,Varb. Tare Weight,Maximum Capacity,Overcapacity Toler.,Max. Pack. Length,Max. Pack. Width,Max. Pack. Height,Unit of Measurement,Country of origin,Material freight grp,Quarant. Per.,Quarantine Time Unit,Quality Inspection Group,Serial No. Profile,Form Name,Logistics Unit of Measure,Material Is a CW Material,CW Profile for CW Quantity,Catch Weight Tolerance Group,Adjustment Profile (Merchandise Distr.),Intellectual Property,Variant Price Allowed,Medium,Physical Commodity,Cont. Non-Textile Parts of Animal Origin,Textile Composition Maintenance Active,Segmentation Structure,Segmentation Strategy,Segmentation Status,Segmentation Strategy Scope,Segmentation Relevant,ANP Code,Fashion Attribute 1,Fashion Attribute 2,Fashion Attribute 3,Season Usage,Season Active in Inventory Management,Material Conv. ID,Protected Species Management Code,Loading Units,Loading Unit Group,Structure Category,Tolerance Type ID,Counting Group,DSD Grouping,Tilting Allowed,No Stacking,Only Bottom Layer,Only Top Layer,Stacking Factor,Load without PKM,PKM Overhang Depth,PKM Overhang Width,Max. Stacking Height,Min. Stacking Height,Max.StackH Tolerance,No. Mat / Closed PKM,VSO Unit of Measure,Closed PKM Required,Packaging Code,DG Packaging Status,Material Condition Mgmt,Return Code,Return to Logistics Level,NATO Item ID Number,Spare Part Class Code,Form-Fit-Function class,Supersession chain number,Creation Status,Int. Char. Number,Int. Char. Number.1,Int. Char. Number.2,Color,Main Size,Second Size,Free Charact. Value,Care Code,Brand,Component 1,Percentage Share 1,Component 2,Percentage Share 2,Component 3,Percentage Share 3,Component 4,Percentage Share 4,Component 5,Percentage Share 5,Fashion Grade,Serialization Type,Synchronization Active,Last Synchronization Time,Indicator Changed Since Integration,Profile Relevant Country,Product Category,catalog,Strength / Presentation,Grade,Pack Size,Time,Material Description,Material description,Purchase Order Text
0,680000000,2014-04-10,BATCH_MM,2024-07-29,VINAKUMA,KDELBSVQGCZX,KDELBSVQGC,,ZVRP,P,Z005,,NOS,,,,,,,,0,,,,,,,,0,0,KG,0,,,,,4.0,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,00:00:00,ALUMINIUM CANS 1 KG,ALUMINIUM CANS 1 KG,ALUMINIUM CANS 1 KG
1,680000001,2014-04-10,BATCH_MM,2024-02-29,VINAKUMA,KDELBSVQGCZX,KDELBSVQGC,,ZVRP,P,Z005,,NOS,,,,,,,,0,,,,,,,,0,0,KG,0,,,T1,,4.0,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,00:00:00,ALUMINIUM CANS 5KG,ALUMINIUM CANS 5KG,ALUMINIUM CANS 5KG
2,680000002,2014-04-10,BATCH_MM,2024-07-29,VINAKUMA,KDELBSVQGCZX,KDELBSVQGC,,ZVRP,P,Z005,,NOS,,,,,,,,0,,,,,,,,0,0,KG,0,,,T1,,4.0,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,00:00:00,ALUMINIUM CANS 3 KGS,ALUMINIUM CANS 3 KGS,ALUMINIUM CANS 3 KGS
3,680000004,2014-04-10,BATCH_MM,2024-01-31,SHWSAL,KDELBSVQGCZX,KDELBSVQGC,,ZVRP,P,Z005,,NOS,,,,,,,,0,,,,,,,,0,0,KG,0,,,T1,,4.0,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,00:00:00,ALUMINIUM CANS 500 GMS,ALUMINIUM CANS 500 GMS,ALUMINIUM CANS 500 GMS
4,680000009,2014-04-10,BATCH_MM,2024-07-16,MANJUL,KDELBSVQGCZXP,KDELBSVQGCP,,ZVRP,P,Z004,,KG,,,,,,,,0,,,,,,,,0,0,KG,0,,,T1,,14.0,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,00:00:00,POLYTHENE SHEETS 90*50*300 G,POLYTHENE SHEETS 90*50*300 G,POLYTHENE SHEETS 90*50*300 G
5,680000018,2014-04-10,BATCH_MM,2024-07-29,VINAKUMA,KDELBSVQGCZX,KDELBSVQGC,,ZVRP,P,Z004,,NOS,,,,,,,,0,,,,,,,ZM00,0,0,KG,0,,,T2,,8.0,1,,4,,,0,,,,,,,,,0,0,0,,,,,,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,00:00:00,"TRIPLE LAMINATED ALUMINIUM BAGS 11.5"" X","TRIPLE LAMINATED ALUMINIUM BAGS 11.5"" X",TRIPLE LAMINATED ALUMINIUM BAGS 11.5'' X 18.2''
6,680000019,2014-04-10,BATCH_MM,2025-02-21,HIMAPR,KDELBSVQGCZX,KDELBSVQGC,,ZVRP,P,Z004,,NOS,,,,,,,,0,,,,,,,ZM00,0,0,KG,0,,,T2,,4.0,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,00:00:00,"TRIPLE LAMINATED ALUMINIUM BAGS 20"" X 27","TRIPLE LAMINATED ALUMINIUM BAGS 20"" X 27",TRIPLE LAMINATED ALUMINIUM BAGS 20'' X 27''
7,680000020,2014-04-10,BATCH_MM,2024-01-23,VINAKUMA,KDELBSVQGCZX,KDELBSVQGC,,ZVRP,P,Z004,,NOS,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,9.0,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,00:00:00,"TRIPLE LAMINATED ALUMINIUM BAGS 23"" X 39","TRIPLE LAMINATED ALUMINIUM BAGS 23"" X 39",TRIPLE LAMINATED ALUMINIUM BAGS 23'' X 39''
8,680000021,2014-04-10,BATCH_MM,2024-07-29,VINAKUMA,KDELBSVQGCZX,KDELBSVQGC,,ZVRP,P,Z004,,NOS,,,,,,,,0,,,,,,,ZM00,0,0,KG,0,,,,,2.0,1,,4,,,0,,,,,,,,,0,0,0,,,,,,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,00:00:00,"TRIPLE LAMINATED ALUMINIUM BAGS 36"" x 60","TRIPLE LAMINATED ALUMINIUM BAGS 36"" X 60",TRIPLE LAMINATED ALUMINIUM BAGS 36'' x 60''
9,680000022,2014-04-10,BATCH_MM,2024-07-29,VINAKUMA,KDELBSVQGCZX,KDELBSVQGC,,ZVRP,P,Z004,,NOS,,,,,,,,0,,,,,,,ZM00,0,0,KG,0,,,,,8.0,1,,4,,,0,,,,,,,,,0,0,0,,,,,,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,00:00:00,"TRIPLE LAMINATED ALUMINIUM BAGS 14""X20""","TRIPLE LAMINATED ALUMINIUM BAGS 14""X20""",TRIPLE LAMINATED ALUMINIUM BAGS 14''X20''
