,Material,Created By,Created On,Client lvl,Mat. Type,Industry,Matl Group,Unit,PV key,Material Description,Purchase Order Text,catalog
0,555102129,MANJUL,44316,,ZSC2,P,Z022,NOS,,TGSF-24 SEPERATING FUNNEL WITH GLASS STO,"TGSF-24 SEPERATING FUNNEL WITH GLASS STOPCOCK, TAPER JOINT WITH DIPPING TUBE, 500 ML, NECK JOINT(SOCKET) 24",
1,555046946,LAVAMA,42901,,ZSC2,P,Z022,NOS,,Hand Glouse,Hand Glouse,
2,555102128,MANJUL,44316,,ZSC2,P,Z022,NOS,,TGSF-24 SEPERATING FUNNEL WITH GLASS STO,"TGSF-24 SEPERATING FUNNEL WITH GLASS STOPCOCK, TAPER JOINT WITH DIPPING TUBE, 250 ML, NECK JOINT(SOCKET) 24",
3,555036956,SHRUHO,42566,,ZSC2,P,Z022,NOS,,GC Column Ferrules,GC Column Ferrules,
4,555102127,MANJUL,44316,,ZSC2,P,Z022,NOS,,TGSF-24 SEPERATING FUNNEL WITH GLASS STO,"TGSF-24 SEPERATING FUNNEL WITH GLASS STOPCOCK, 100ML, NECK JOINT(SOCKET) 24",
5,555102181,MANJUL,44316,,ZSC2,P,Z022,NOS,,"TGF-34 CONICAL FLASKS TAPER JOINT, 1000","TGF-34 CONICAL FLASKS TAPER JOINT, 1000 ML",
6,555009840,BATCH_MM,41748,,ZSC2,P,Z022,NOS,ZM00,PP DESICCATORS-WITH PORCELAIN BOTTOM PLA,PP DESICCATORS-with porcelain bottom plate,CATORS-with porcelain bottom plate
7,555129811,PARAVE,45702,,ZSC2,P,Z022,NOS,,"LUX 5 ÂµM CELLULOSE-2,0G-4457-P0-AX, LC","LUX 5 ÂµM CELLULOSE-2,0G-4457-P0-AX, LC COLUMN 250 X 21.2 MM, AXIA PACKED, EA",
8,555106812,RAMAADI,44497,,ZSC2,P,Z022,NOS,ZM00,"AccQ-Fluor™ Reagent kit,Cat No.:WAT05288","AccQ-Fluor™ Reagent kit,Cat No.:WAT052880",Cat No.:WAT052880
9,555106813,RAMAADI,44497,,ZSC2,P,Z022,NOS,ZM00,"AccQ-Tag® Eluent A concentrate,Cat No.:W","AccQ-Tag® Eluent A concentrate,Cat No.:WAT052890",Cat No.:WAT052890
10,555122691,PARAVE,45128,,ZSC2,P,Z022,NOS,,"ACCU-CHEK,instant strips -50's pack","ACCU-CHEK,instant strips -50's pack",
