Plant,Name 1,GMP,Non GMP
5101,SYNGENE (CS DIV) UNIT-2 (GMP),X,
5111,SYNGENE BSEZ-S1 UNIT V (GMP),X,
5113,SYNGENE BSEZ-S2 UNIT I (GMP),X,
5121,SYNGENE BSEZ-S11,X,
5131,SYNGENE BSEZ-S14 UNIT III(GMP),X,
5132,Non Bonded Early Phase GMP-SU3,X,
5133,Non Bonded Late Phase GMP-SU 3,X,
5134,Non Bonded Comm Phase GMP-SU 3,X,
5141,SYNGENE BSEZ-S14 UNIT III  GMP,X,
5142,SYNGENE BSEZ,,X
5143,SYNGENE BSEZ-S14-Disc.Biology,,X
5144,CD_Commercial phase GMP,X,
5145,Biologics_Commercial phase GMP,X,
5146,FDC_Commercial phase GMP,X,
5147,SYNGENE INTERNATIONAL LTD,,X
5151,SYNGENE (CS DIV) UNIT-2 (NGMP),,X
5152,SYNGENE INTERNATIONAL LTD,,X
5153,SYNGENE INTERNATIONAL LTD,,X
5161,SYNGENE BSEZ-S1 UNIT V (NGMP),,X
5162,SYNGENE BSEZ-S1 UNIT V (NGMP),,X
5163,SYNGENE BSEZ-S2 UNIT I (NGMP),,X
5164,SYNGENE INTERNATIONAL LTD,,X
5165,SYNGENE BSEZ-S18 UNIT 12 (NGMP,,X
5166,SYNGENE INTERNATIONAL LTD,,X
5167,SYNGENE BSEZ-S18 UNIT 13 (TB),X,
5168,SYNGENE (CS DIV) UNIT-2 (GMP),X,
5169,SYNGENE-S18 Ext WH (NGMP),,X
5170,SYNGENE-EXT WH (E & M),,X
5171,SYNGENE BSEZ-S11 UNIT 11 (NGMP,,X
5172,SYNGENE BSEZ-S12 UNIT IV (NGMP,,X
5173,SYNGENE BSEZ-S11 UNIT 11 (NGMP,,X
5174,SYNGENE BSEZ-S15 UNIT VI (NGMP,,X
5175,SYNGENE BSEZ-S16 UNIT IX(NGMP),,X
5176,SYNGENE SEZ - Unit S17 (NGMP),,X
5177,SYNGENE BSEZ-S18 UNIT 12 (GMP),X,
5178,SYNGENE BSEZ-S18 UNIT 13 (GMP),X,
5179,SYNGENE BSEZ-S16 UNIT X (NGMP),,X
5180,SYNGENE BSEZ-S16 UNIT XI(NGMP),,X
5181,SYNGENE BSEZ-S14 UNIT III,,X
5182,SYNGENE BSEZ- UNIT VII (NGMP),,X
5183,SYNGENE MSEZ-Technical Batch,X,
5184,SYNGENE BSEZ-S14 UNIT III,,X
5185,SYNGENE SEZ - Unit S17 (GMP),X,
5186,SYNGENE BSEZ-S14 UNIT III,X,
5187,SYNGENE INTERNATIONAL LIMITED,,
5188,SYNGENE INTERNATIONAL LIMITED,,X
5189,SYNGENE BSEZ-S18 UNIT 13(NGMP),,X
5190,SYNGENE INTERNATIONAL LTD,,X
5191,SYNGENE BSEZ-S14 UNIT III NGMP,,X
5192,SYNGENE INTERNATIONAL LIMITED,,X
5193,SYNGENE MSEZ-GMP,X,
5194,SYNGNENE CO-DEVELOPER BSEZ,,X
5195,SYNGENE BSEZ-S11 UNIT11-(NGMP),,X
5197,CD_Late phase GMP,X,
5198,Biologics_Late phase GMP,X,
5199,FDC_Late phase GMP,X,
5552,SSSL-EOU-HYD-MNP(NGMP),,X
5553,SSSL-EOU-HYD-INNOPOLIS(NGMP),,X
5566,DTA-VTP-Supplies,,X
5571,SEZ-SSL-S11(NGMP),,X
5590,ISD-VTP-Services,,X
5611,SEZ-MFG-S1(GMP),X,
5613,SEZ-MFG-S2(GMP),X,
5642,SEZ-MFG-S20A(NGMP),,X
5661,SEZ-MFG-S1(NGMP),,X
5663,SEZ-MFG-S2(NGMP),,X
5665,SEZ-MFG-S18(NGMP),,X
5666,DTA-VTP-Supplies,,X
5669,JWL WH-MFG,,X
5670,E&M WH-MFG,,X
5677,SEZ-MFG-S18 (GMP),X,
5683,MSEZ-MFG,X,
5690,DTA-VTP-Services,,X
5693,MSEZ-MFG,X,
