Company Code,G/L Account
5100,21112010
5100,11110100
5300,11110100
5500,11110100
5600,11110100
5100,11110200
5500,11110200
5600,11110200
5100,11110300
5500,11110300
5600,11110300
5100,11130100
5500,11130100
5600,11130100
5400,11140100
5100,11210100
5500,11210100
5600,11210100
5100,11210200
5500,11210200
5600,11210200
5100,11220100
5500,11220100
5600,11220100
5100,11220200
5500,11220200
5600,11220200
5100,11230200
5500,11230200
5600,11230200
5100,11230300
5500,11230300
5600,11230300
5100,11240100
5500,11240100
5600,11240100
5100,11240200
5500,11240200
5600,11240200
5100,11250100
5400,11250100
5500,11250100
5600,11250100
5100,11250200
5500,11250200
5600,11250200
5100,11260100
5500,11260100
5600,11260100
5100,11260200
5500,11260200
5600,11260200
5100,11260300
5500,11260300
5600,11260300
5100,11270200
5500,11270200
5600,11270200
5100,11270300
5500,11270300
5600,11270300
5100,11270400
5500,11270400
5600,11270400
5100,11280100
5300,11280100
5400,11280100
5500,11280100
5600,11280100
5100,11280300
5500,11280300
5600,11280300
5100,11280400
5500,11280400
5600,11280400
5100,11280500
5500,11280500
5600,11280500
5100,11280600
5500,11280600
5600,11280600
5100,11280700
5500,11280700
5600,11280700
5100,11290100
5500,11290100
5600,11290100
5100,11290200
5500,11290200
5600,11290200
5100,11290300
5500,11290300
5600,11290300
5100,12100100
5500,12100100
5600,12100100
5100,12100200
5500,12100200
5600,12100200
5100,12100300
5500,12100300
5600,12100300
5100,12100400
5500,12100400
5600,12100400
5100,12200100
5500,12200100
5600,12200100
5100,12200200
5500,12200200
5600,12200200
5100,12200300
5500,12200300
5600,12200300
5100,12200400
5300,12200400
5500,12200400
5600,12200400
5100,12200500
5500,12200500
5600,12200500
5100,13100100
5500,13100100
5600,13100100
5100,13100200
5500,13100200
5600,13100200
5100,14110120
5500,14110120
5600,14110120
5100,14110220
5500,14110220
5600,14110220
5100,14210100
5500,14210100
5600,14210100
5100,14221100
5500,14221100
5600,14221100
5100,14221200
5500,14221200
5600,14221200
5100,14222100
5500,14222100
5600,14222100
5100,14222200
5500,14222200
5600,14222200
5100,14222300
5500,14222300
5600,14222300
5100,14222400
5500,14222400
5600,14222400
5100,14222500
5500,14222500
5600,14222500
5100,14222600
5500,14222600
5600,14222600
5100,14222990
5400,14222990
5500,14222990
5600,14222990
5100,14223100
5500,14223100
5600,14223100
5100,14223200
5500,14223200
5600,14223200
5100,14223300
5500,14223300
5600,14223300
5100,14223400
5500,14223400
5600,14223400
5100,14223990
5400,14223990
5500,14223990
5600,14223990
5100,14224020
5400,14224020
5600,14224020
5100,14224021
5100,14224022
5400,14224022
5600,14224022
5100,14224050
5400,14224050
5600,14224050
5100,14224051
5100,14224052
5400,14224052
5600,14224052
5100,14225100
5100,14225200
5100,14230100
5500,14230100
5600,14230100
5100,14230200
5500,14230200
5600,14230200
5100,14230300
5500,14230300
5600,14230300
5100,14240100
5500,14240100
5600,14240100
5100,14240200
5500,14240200
5600,14240200
5100,14240300
5500,14240300
5600,14240300
5100,14240400
5500,14240400
5600,14240400
5100,14240500
5500,14240500
5600,14240500
5100,14240600
5500,14240600
5600,14240600
5100,14240700
5500,14240700
5600,14240700
5100,14240800
5500,14240800
5600,14240800
5400,14240900
5600,14240900
5100,14250100
5500,14250100
5600,14250100
5100,14310200
5500,14310200
5600,14310200
5100,14321100
5500,14321100
5600,14321100
5100,14321200
5500,14321200
5600,14321200
5100,14322100
5500,14322100
5600,14322100
5100,14322300
5500,14322300
5600,14322300
5100,14330100
5500,14330100
5600,14330100
5100,14341100
5500,14341100
5600,14341100
5100,14342100
5500,14342100
5600,14342100
5100,14342200
5500,14342200
5600,14342200
5100,15111100
5500,15111100
5600,15111100
5100,15111200
5500,15111200
5600,15111200
5100,15111300
5400,15111300
5500,15111300
5600,15111300
5100,15111400
5300,15111400
5400,15111400
5500,15111400
5600,15111400
5100,15112100
5500,15112100
5600,15112100
5100,15112200
5500,15112200
5600,15112200
5100,15112300
5300,15112300
5500,15112300
5600,15112300
5100,15112400
5300,15112400
5500,15112400
5600,15112400
5100,15112500
5400,15112500
5500,15112500
5600,15112500
5100,15113100
5500,15113100
5600,15113100
5100,15113200
5500,15113200
5600,15113200
5100,15113300
5300,15113300
5500,15113300
5600,15113300
5100,15113400
5300,15113400
5400,15113400
5500,15113400
5600,15113400
5100,15114100
5500,15114100
5600,15114100
5100,15114200
5500,15114200
5600,15114200
5100,15115100
5500,15115100
5600,15115100
5100,15115200
5500,15115200
5600,15115200
5100,15119100
5300,15119100
5400,15119100
5500,15119100
5600,15119100
5100,15119200
5500,15119200
5600,15119200
5100,15119300
5500,15119300
5600,15119300
5100,15119400
5300,15119400
5500,15119400
5600,15119400
5100,15119500
5400,15119500
5500,15119500
5600,15119500
5100,15121100
5300,15121100
5500,15121100
5600,15121100
5100,15121200
5300,15121200
5500,15121200
5600,15121200
5100,15122100
5500,15122100
5600,15122100
5100,15122200
5500,15122200
5600,15122200
5100,15122300
5500,15122300
5600,15122300
5100,15123100
5500,15123100
5600,15123100
