Material,Created On,Created By,Last Change,Changed By,Compl. maint. status,Maintenance status,DF at client level,Material Type,Industry,Material Group,Old material number,Base Unit of Measure,Order Unit,Document,Document type,Doc. Version,Page format,Document change no.,Page number,Number of sheets,Prod./insp. memo,Page format.1,Size/dimensions,Basic material,Industry Std Desc.,Lab/Office,Purchasing value key,Gross Weight,Net Weight,Unit of Weight,Volume,Volume Unit,Container reqmts,Storage conditions,Temp. conditions,Low-Level Code,Transportation Group,Haz. material number,Division,Competitor,EAN number,Number of GR slips,Procurement rule,Source of supply,Season,Label type,Label form,Field deactivated,EAN/UPC,EAN Category,Length,Width,Height,Unit of Dimension,Product Hierarchy,Stock Transfer Net Change Costing,CAD Indicator,QM proc. active,Allowed pkg weight,Unit of weight,Allowed pkg volume,Volume unit,Excess wt tolerance,Excess volume tol.,Variable Purchase Order Unit,Revision Level Assgd,Material is configurable,Batch management,Packaging mat. type,Maximum level,Stackability factor,Matl Grp Pack.Matls,Authorization Group,Valid From,Valid to,Season Year,Price Band Category,With empties BOM,Ext. Material Group,Cross-plant CM,Material Category,Co-product,Follow-up material,Pricing Ref. Matl,X-plant matl status,X-distr.chain status,Valid from,Valid from.1,Tax classification,Catalog profile,Min. Rem. Shelf Life,Total shelf life,Storage percentage,Content unit,Net contents,ComparisonPriceUnit,Labeling matl grpg,Gross contents,Conversion Method,Internal object no.,Environmentally rlvt,Product allocation,Pricing profile,Qual.f.FreeGoodsDis.,Manufacturer Part No.,Manufacturer,Int. material number,Mfr Part Profile,Units of meas. usage,Rollout,DG indicator profile,Highly viscous,In bulk/liquid,Serialization level,Closed,Appr.batch rec. req.,Assign effect. vals,Material completion level,Period Ind. for SLED,Rounding rule SLED,Product Composition,Gen. item cat. grp,Logistical variants,Material is locked,Indicator for relevance in CM,Assortment List Type,Expiration Date,EAN Variant,Generic Material,Reference matl for packing,GDS-Relevant,Origin Acceptance,Standard HU Type,Pilferable,WH Storage Condition,WH Material Group,Handling Indicator,Rel. for HS,Handling Unit Type,Varb. Tare Weight,Maximum Capacity,Overcapacity Toler.,Max. Pack. Length,Max. Pack. Width,Max. Pack. Height,Unit of Measurement,Country of origin,Material freight grp,Quarant. Per.,Quarantine Time Unit,Quality Inspection Group,Serial No. Profile,Form Name,Logistics Unit of Measure,Material Is a CW Material,CW Profile for CW Quantity,Catch Weight Tolerance Group,Adjustment Profile (Merchandise Distr.),Intellectual Property,Variant Price Allowed,Medium,Physical Commodity,Cont. Non-Textile Parts of Animal Origin,Textile Composition Maintenance Active,Segmentation Structure,Segmentation Strategy,Segmentation Status,Segmentation Strategy Scope,Segmentation Relevant,ANP Code,Fashion Attribute 1,Fashion Attribute 2,Fashion Attribute 3,Season Usage,Season Active in Inventory Management,Material Conv. ID,Protected Species Management Code,Loading Units,Loading Unit Group,Structure Category,Tolerance Type ID,Counting Group,DSD Grouping,Tilting Allowed,No Stacking,Only Bottom Layer,Only Top Layer,Stacking Factor,Load without PKM,PKM Overhang Depth,PKM Overhang Width,Max. Stacking Height,Min. Stacking Height,Max.StackH Tolerance,No. Mat / Closed PKM,VSO Unit of Measure,Closed PKM Required,Packaging Code,DG Packaging Status,Material Condition Mgmt,Return Code,Return to Logistics Level,NATO Item ID Number,Spare Part Class Code,Form-Fit-Function class,Supersession chain number,Creation Status,Int. Char. Number,Int. Char. Number.1,Int. Char. Number.2,Color,Main Size,Second Size,Free Charact. Value,Care Code,Brand,Component 1,Percentage Share 1,Component 2,Percentage Share 2,Component 3,Percentage Share 3,Component 4,Percentage Share 4,Component 5,Percentage Share 5,Fashion Grade,Serialization Type,Synchronization Active,Last Synchronization Time,Indicator Changed Since Integration,Profile Relevant Country,Product Category,catalog,Strength / Presentation,Grade,Pack Size,Time,Material Description,Material description,Purchase Order Text,Short=Long,Count Short,Count long,Created for/extended to GMP Plant,CAS number (pharm.),Countif CAS,Blocked in Plant level,Blocked in client level,Blocking indicators,dup_group,count
630022830,4/7/2014,BATCH_MM,4/13/2023,PRATHVS,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,1,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,2-CHLORO-4-FLUOROANILINE,2-CHLORO-4-FLUOROANILINE,2-chloro-4-fluoroaniline,TRUE,1,1,630022830,2/7/2106,1,,,,781,2
630022822,4/7/2014,BATCH_MM,3/18/2023,SREENM,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,1,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,"2,4-DIMETHOXYANILINE","2,4-DIMETHOXYANILINE","2,4-dimethoxyaniline",TRUE,1,1,630022822,4/8/2735,1,,,,477,5
630008497,4/7/2014,BATCH_MM,3/17/2023,SREENM,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,3-AMINO-2-METHYLPYRIDINE,3-AMINO-2-METHYLPYRIDINE,3-amino-2-methylpyridine,TRUE,1,1,630008497,10/2/3430,1,,,,939,3
630001095,4/7/2014,BATCH_MM,4/10/2023,PRATHVS,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,1-(2-HYDROXYETHYL)-2-PYRROLIDONE,1-(2-HYDROXYETHYL)-2-PYRROLIDONE,1-(2-hydroxyethyl)-2-pyrrolidone,TRUE,1,1,630001095,11/2/3445,1,,,,128,2
630000527,4/7/2014,BATCH_MM,3/17/2023,SREENM,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,(R)-(-)-2-AMINO-3-METHYL-1-BUTANOL,(R)-(-)-2-AMINO-3-METHYL-1-BUTANOL,(r)-(-)-2-amino-3-methyl-1-butanol,TRUE,1,1,630000527,9/9/4276,1,,,,48,2
630015470,4/7/2014,BATCH_MM,5/17/2024,SHILPAHM,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z2,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,Z5,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,"2,2-DIFLUOROCYCLOPROPYLAMINE HCL (G)","2,2-DIFLUOROCYCLOPROPYLAMINE HCL (G)","2,2-difluorocyclopropylamine hcl",FALSE,1,2,630015470,105614-25-3,2,,Blocked,,413,2
630003892,4/7/2014,BATCH_MM,7/30/2024,VINAKUMA,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,"2,3-DIMETHOXY BENZYLAMINE","2,3-DIMETHOXY BENZYLAMINE","2,3-dimethoxy benzylamine",TRUE,1,1,630003892,9/3/4393,1,,,,476,5
630000057,4/7/2014,BATCH_MM,4/10/2023,PRATHVS,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,1,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,Z001,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,(-)-METHYL-L-LACTATE,(-)-METHYL-L-LACTATE,(-)-methyl-l-lactate,TRUE,1,1,630000057,27871-49-4,1,,,,6,2
630000067,4/7/2014,BATCH_MM,8/1/2024,VINAKUMA,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,,0,0,KG,0,,,Z1,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,X,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,(+)-BIS[(R)-1-PHENYLETHYL]AMINE,(+)-BIS[(R)-1-PHENYLETHYL]AMINE,(+)-bis[(r)-1-phenylethyl]amine,TRUE,1,1,630000067,23294-41-9,1,,,,4,2
630001688,4/7/2014,BATCH_MM,8/1/2024,VINAKUMA,KDELBSVQGZXC,KDELBSVQGC,,ZRDM,P,Z013,,G,,,,,,,,0,,,,,,,ZM00,0,0,KG,0,,,Z1,,,1,,4,,,0,,,,,,,,,0,0,0,,,,,,0,,0,,0,0,,,,X,,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,,0,,,,,,,,,,,,,,,,,,0,D,,,NORM,,,,,B,,,,,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,0,0:00:00,"1,3-BIS-(2,1-DIISOPROPYLPHENYL)-IMIDAZOL","1,3-BIS-(2,1-DIISOPROPYLPHENYL)-IMIDAZOL","1,3-bis-(2,1-diisopropylphenyl)-imidazoliniumchloride",FALSE,1,1,630001688,12/2/4684,2,,,,187,2
